,title,rating,date,cleaned_content,sentiment_score,sentiment,label
214,,,2024-03-11,Lo compré con el 10 de descuento es el mejor procesador que tenido No llora con nada que es muy caliente si Pero con una buena refrigeración liquida que ya son bastante buenas se controla Me gustó mucho sin demeritar la competencia AMD que lo está haciendo genial también Per en mi caso como las memorias DDR5 vienen optimizadas para intel quiero estar batallando decidí por este arrepiento de mi compra Muy buen producto de calidad premium Read,-0.4588,negative,0
216,,,2023-12-08,I using 10700K I decided time well actually I got itch I decided go 14700K reasons One 14th gen part Intel got significant upgrade four e cores 8 threads plus small clock boost I also like 3DFX part AMD caused minor issues people I definitely like RAM issues I see time AMD systems If RAM issues I may gone AMD time Out Intel systems I assembled customers years I come across RAM issue caused bad RAM This CPU working perfectly gaming excellently Gaming benchmarks show good CPU I issues If interested Intel parts I suggest going 13th gen basically get part less money For i7 system though excellent CPU half decent upgrade previous gen Read,0.9786,positive,1
218,,,2023-11-03,So far good This CPU monster runs nicely boosts max clocks 6ghz two cores 5 7ghz cores unlimited TDP settings thermally limited 90c 60mV offset I noticed runs bit cooler previous 13900KF especially consider core core deltas I use PC mostly gaming encoding long great case plenty air flow top notch cooler easily run air cooled without issues throttle hits whatever thermal maximum set UEFI BIOS In gaming workloads never throttles though stays 5 7ghz core boost entire time temps CPU intensive games anywhere upper 50s mid 60s upper 40s mid 50s non CPU intensive games Update I CPU 5 8ghz HT disabled 75mV offset working like charm stable gaming workloads encoding downclocks hits 90c encoding workloads gaming stays 5 8ghz amazing since air cooled setup though setup optimal gets air cooling As temps little lower running 5 7ghz HT enabled 50mV offset If I use 75mV offset 5 8ghz HT enabled PC crashes So disabling HT definitely enables CPU use less power If predominantly using machine gaming I definitely recommend turning HT regardless games tend run better HT disabled But using productivity blend productivity gaming definitely turn HT The mildly disappointing thing memory controller good I thought would Mine runs 48GB DDR5 7400 CL34 1 35V IMC hit DDR5 7600 CL36 stability I need increase IMC voltage 1 41V worth ask minor bump performance My previous 13900KF could 48GB DDR5 7800 1 36V IMC Core wise though CPU definitely superior 13th gen Read,0.9895,positive,1
219,i9 14th gen is the beast!,5.0,2023-11-20,Just upgraded i5 9400f i9 14900k super happy performance I able achieve It simply works buttery smooth Large applications open like notepad apps It heats lot though I went MSI coreliquid liquid cooling solution If looking upgrade 13th gen save money performance identical however setting new PC definitely go My setup MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro 1 TBRipjaws 32gb ddr5Bonus tip If u struck setting ur PC go MSI support super responsive assist I got wiring fixed matter minutes ona video call assistant Read,0.9764,positive,1
220,Worst! Gave me used and defective product.,1.0,2024-06-25,Motherboard Gigabyte z790 ud ac detecting cpuThe packaging worst Go store instead test buy Don buy Read,-0.6249,negative,0
221,Worst quality,1.0,2024-03-28,I liked price I Also liked performance Rather purchase i9 13th generationRead,0.6808,positive,1
222,Waste of money,1.0,2023-12-07,13 gen better performence low pricing Avoid product cause 2 core touching 6000 mhz real life difference Read,-0.1027,negative,0
223,It's just a overclocked i7 13700k,2.0,2023-10-25,What meaning new chip provides generational uplift except thing better last gen hefty power consumption ur fine work fine I think ur electricity bill gonna sky rocket 3 5 uplift 15 money worth rather buy 13 12 gen ddr5 ram help else get r7 7700 provide less like 10 percent 50 percentage less power draw ryzen better comes desktop processor efficiency value moneyRead,0.9525,positive,1
224,Beast gaming 💪🐻,5.0,2023-10-23,Beast gaming world 2nd powerful processor set processer RTX 4070 16gb ram 2048gb 2tb nvme 2 ssd 850 watts pls buy itRead,0.4767,positive,1
225,,,2024-03-11,Lo compré con el 10 de descuento es el mejor procesador que tenido No llora con nada que es muy caliente si Pero con una buena refrigeración liquida que ya son bastante buenas se controla Me gustó mucho sin demeritar la competencia AMD que lo está haciendo genial también Per en mi caso como las memorias DDR5 vienen optimizadas para intel quiero estar batallando decidí por este arrepiento de mi compra Muy buen producto de calidad premium Read,-0.4588,negative,0
227,,,2023-12-08,I using 10700K I decided time well actually I got itch I decided go 14700K reasons One 14th gen part Intel got significant upgrade four e cores 8 threads plus small clock boost I also like 3DFX part AMD caused minor issues people I definitely like RAM issues I see time AMD systems If RAM issues I may gone AMD time Out Intel systems I assembled customers years I come across RAM issue caused bad RAM This CPU working perfectly gaming excellently Gaming benchmarks show good CPU I issues If interested Intel parts I suggest going 13th gen basically get part less money For i7 system though excellent CPU half decent upgrade previous gen Read,0.9786,positive,1
229,,,2023-11-03,So far good This CPU monster runs nicely boosts max clocks 6ghz two cores 5 7ghz cores unlimited TDP settings thermally limited 90c 60mV offset I noticed runs bit cooler previous 13900KF especially consider core core deltas I use PC mostly gaming encoding long great case plenty air flow top notch cooler easily run air cooled without issues throttle hits whatever thermal maximum set UEFI BIOS In gaming workloads never throttles though stays 5 7ghz core boost entire time temps CPU intensive games anywhere upper 50s mid 60s upper 40s mid 50s non CPU intensive games Update I CPU 5 8ghz HT disabled 75mV offset working like charm stable gaming workloads encoding downclocks hits 90c encoding workloads gaming stays 5 8ghz amazing since air cooled setup though setup optimal gets air cooling As temps little lower running 5 7ghz HT enabled 50mV offset If I use 75mV offset 5 8ghz HT enabled PC crashes So disabling HT definitely enables CPU use less power If predominantly using machine gaming I definitely recommend turning HT regardless games tend run better HT disabled But using productivity blend productivity gaming definitely turn HT The mildly disappointing thing memory controller good I thought would Mine runs 48GB DDR5 7400 CL34 1 35V IMC hit DDR5 7600 CL36 stability I need increase IMC voltage 1 41V worth ask minor bump performance My previous 13900KF could 48GB DDR5 7800 1 36V IMC Core wise though CPU definitely superior 13th gen Read,0.9895,positive,1
230,i9 14th gen is the beast!,5.0,2023-11-20,Just upgraded i5 9400f i9 14900k super happy performance I able achieve It simply works buttery smooth Large applications open like notepad apps It heats lot though I went MSI coreliquid liquid cooling solution If looking upgrade 13th gen save money performance identical however setting new PC definitely go My setup MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro 1 TBRipjaws 32gb ddr5Bonus tip If u struck setting ur PC go MSI support super responsive assist I got wiring fixed matter minutes ona video call assistant Read,0.9764,positive,1
231,Worst! Gave me used and defective product.,1.0,2024-06-25,Motherboard Gigabyte z790 ud ac detecting cpuThe packaging worst Go store instead test buy Don buy Read,-0.6249,negative,0
232,Worst quality,1.0,2024-03-28,I liked price I Also liked performance Rather purchase i9 13th generationRead,0.6808,positive,1
233,Waste of money,1.0,2023-12-07,13 gen better performence low pricing Avoid product cause 2 core touching 6000 mhz real life difference Read,-0.1027,negative,0
234,It's just a overclocked i7 13700k,2.0,2023-10-25,What meaning new chip provides generational uplift except thing better last gen hefty power consumption ur fine work fine I think ur electricity bill gonna sky rocket 3 5 uplift 15 money worth rather buy 13 12 gen ddr5 ram help else get r7 7700 provide less like 10 percent 50 percentage less power draw ryzen better comes desktop processor efficiency value moneyRead,0.9525,positive,1
235,Beast gaming 💪🐻,5.0,2023-10-23,Beast gaming world 2nd powerful processor set processer RTX 4070 16gb ram 2048gb 2tb nvme 2 ssd 850 watts pls buy itRead,0.4767,positive,1
236,,,2024-03-11,Lo compré con el 10 de descuento es el mejor procesador que tenido No llora con nada que es muy caliente si Pero con una buena refrigeración liquida que ya son bastante buenas se controla Me gustó mucho sin demeritar la competencia AMD que lo está haciendo genial también Per en mi caso como las memorias DDR5 vienen optimizadas para intel quiero estar batallando decidí por este arrepiento de mi compra Muy buen producto de calidad premium Read,-0.4588,negative,0
238,,,2023-12-08,I using 10700K I decided time well actually I got itch I decided go 14700K reasons One 14th gen part Intel got significant upgrade four e cores 8 threads plus small clock boost I also like 3DFX part AMD caused minor issues people I definitely like RAM issues I see time AMD systems If RAM issues I may gone AMD time Out Intel systems I assembled customers years I come across RAM issue caused bad RAM This CPU working perfectly gaming excellently Gaming benchmarks show good CPU I issues If interested Intel parts I suggest going 13th gen basically get part less money For i7 system though excellent CPU half decent upgrade previous gen Read,0.9786,positive,1
240,,,2023-11-03,So far good This CPU monster runs nicely boosts max clocks 6ghz two cores 5 7ghz cores unlimited TDP settings thermally limited 90c 60mV offset I noticed runs bit cooler previous 13900KF especially consider core core deltas I use PC mostly gaming encoding long great case plenty air flow top notch cooler easily run air cooled without issues throttle hits whatever thermal maximum set UEFI BIOS In gaming workloads never throttles though stays 5 7ghz core boost entire time temps CPU intensive games anywhere upper 50s mid 60s upper 40s mid 50s non CPU intensive games Update I CPU 5 8ghz HT disabled 75mV offset working like charm stable gaming workloads encoding downclocks hits 90c encoding workloads gaming stays 5 8ghz amazing since air cooled setup though setup optimal gets air cooling As temps little lower running 5 7ghz HT enabled 50mV offset If I use 75mV offset 5 8ghz HT enabled PC crashes So disabling HT definitely enables CPU use less power If predominantly using machine gaming I definitely recommend turning HT regardless games tend run better HT disabled But using productivity blend productivity gaming definitely turn HT The mildly disappointing thing memory controller good I thought would Mine runs 48GB DDR5 7400 CL34 1 35V IMC hit DDR5 7600 CL36 stability I need increase IMC voltage 1 41V worth ask minor bump performance My previous 13900KF could 48GB DDR5 7800 1 36V IMC Core wise though CPU definitely superior 13th gen Read,0.9895,positive,1
241,i9 14th gen is the beast!,5.0,2023-11-20,Just upgraded i5 9400f i9 14900k super happy performance I able achieve It simply works buttery smooth Large applications open like notepad apps It heats lot though I went MSI coreliquid liquid cooling solution If looking upgrade 13th gen save money performance identical however setting new PC definitely go My setup MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro 1 TBRipjaws 32gb ddr5Bonus tip If u struck setting ur PC go MSI support super responsive assist I got wiring fixed matter minutes ona video call assistant Read,0.9764,positive,1
242,Worst! Gave me used and defective product.,1.0,2024-06-25,Motherboard Gigabyte z790 ud ac detecting cpuThe packaging worst Go store instead test buy Don buy Read,-0.6249,negative,0
243,Worst quality,1.0,2024-03-28,I liked price I Also liked performance Rather purchase i9 13th generationRead,0.6808,positive,1
244,Waste of money,1.0,2023-12-07,13 gen better performence low pricing Avoid product cause 2 core touching 6000 mhz real life difference Read,-0.1027,negative,0
245,It's just a overclocked i7 13700k,2.0,2023-10-25,What meaning new chip provides generational uplift except thing better last gen hefty power consumption ur fine work fine I think ur electricity bill gonna sky rocket 3 5 uplift 15 money worth rather buy 13 12 gen ddr5 ram help else get r7 7700 provide less like 10 percent 50 percentage less power draw ryzen better comes desktop processor efficiency value moneyRead,0.9525,positive,1
246,Beast gaming 💪🐻,5.0,2023-10-23,Beast gaming world 2nd powerful processor set processer RTX 4070 16gb ram 2048gb 2tb nvme 2 ssd 850 watts pls buy itRead,0.4767,positive,1
247,,,2024-03-11,Lo compré con el 10 de descuento es el mejor procesador que tenido No llora con nada que es muy caliente si Pero con una buena refrigeración liquida que ya son bastante buenas se controla Me gustó mucho sin demeritar la competencia AMD que lo está haciendo genial también Per en mi caso como las memorias DDR5 vienen optimizadas para intel quiero estar batallando decidí por este arrepiento de mi compra Muy buen producto de calidad premium Read,-0.4588,negative,0
249,,,2023-12-08,I using 10700K I decided time well actually I got itch I decided go 14700K reasons One 14th gen part Intel got significant upgrade four e cores 8 threads plus small clock boost I also like 3DFX part AMD caused minor issues people I definitely like RAM issues I see time AMD systems If RAM issues I may gone AMD time Out Intel systems I assembled customers years I come across RAM issue caused bad RAM This CPU working perfectly gaming excellently Gaming benchmarks show good CPU I issues If interested Intel parts I suggest going 13th gen basically get part less money For i7 system though excellent CPU half decent upgrade previous gen Read,0.9786,positive,1
251,,,2023-11-03,So far good This CPU monster runs nicely boosts max clocks 6ghz two cores 5 7ghz cores unlimited TDP settings thermally limited 90c 60mV offset I noticed runs bit cooler previous 13900KF especially consider core core deltas I use PC mostly gaming encoding long great case plenty air flow top notch cooler easily run air cooled without issues throttle hits whatever thermal maximum set UEFI BIOS In gaming workloads never throttles though stays 5 7ghz core boost entire time temps CPU intensive games anywhere upper 50s mid 60s upper 40s mid 50s non CPU intensive games Update I CPU 5 8ghz HT disabled 75mV offset working like charm stable gaming workloads encoding downclocks hits 90c encoding workloads gaming stays 5 8ghz amazing since air cooled setup though setup optimal gets air cooling As temps little lower running 5 7ghz HT enabled 50mV offset If I use 75mV offset 5 8ghz HT enabled PC crashes So disabling HT definitely enables CPU use less power If predominantly using machine gaming I definitely recommend turning HT regardless games tend run better HT disabled But using productivity blend productivity gaming definitely turn HT The mildly disappointing thing memory controller good I thought would Mine runs 48GB DDR5 7400 CL34 1 35V IMC hit DDR5 7600 CL36 stability I need increase IMC voltage 1 41V worth ask minor bump performance My previous 13900KF could 48GB DDR5 7800 1 36V IMC Core wise though CPU definitely superior 13th gen Read,0.9895,positive,1
252,i9 14th gen is the beast!,5.0,2023-11-20,Just upgraded i5 9400f i9 14900k super happy performance I able achieve It simply works buttery smooth Large applications open like notepad apps It heats lot though I went MSI coreliquid liquid cooling solution If looking upgrade 13th gen save money performance identical however setting new PC definitely go My setup MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro 1 TBRipjaws 32gb ddr5Bonus tip If u struck setting ur PC go MSI support super responsive assist I got wiring fixed matter minutes ona video call assistant Read,0.9764,positive,1
253,Worst! Gave me used and defective product.,1.0,2024-06-25,Motherboard Gigabyte z790 ud ac detecting cpuThe packaging worst Go store instead test buy Don buy Read,-0.6249,negative,0
254,Worst quality,1.0,2024-03-28,I liked price I Also liked performance Rather purchase i9 13th generationRead,0.6808,positive,1
255,Waste of money,1.0,2023-12-07,13 gen better performence low pricing Avoid product cause 2 core touching 6000 mhz real life difference Read,-0.1027,negative,0
256,It's just a overclocked i7 13700k,2.0,2023-10-25,What meaning new chip provides generational uplift except thing better last gen hefty power consumption ur fine work fine I think ur electricity bill gonna sky rocket 3 5 uplift 15 money worth rather buy 13 12 gen ddr5 ram help else get r7 7700 provide less like 10 percent 50 percentage less power draw ryzen better comes desktop processor efficiency value moneyRead,0.9525,positive,1
257,Beast gaming 💪🐻,5.0,2023-10-23,Beast gaming world 2nd powerful processor set processer RTX 4070 16gb ram 2048gb 2tb nvme 2 ssd 850 watts pls buy itRead,0.4767,positive,1
258,,,2024-03-11,Lo compré con el 10 de descuento es el mejor procesador que tenido No llora con nada que es muy caliente si Pero con una buena refrigeración liquida que ya son bastante buenas se controla Me gustó mucho sin demeritar la competencia AMD que lo está haciendo genial también Per en mi caso como las memorias DDR5 vienen optimizadas para intel quiero estar batallando decidí por este arrepiento de mi compra Muy buen producto de calidad premium Read,-0.4588,negative,0
260,,,2023-12-08,I using 10700K I decided time well actually I got itch I decided go 14700K reasons One 14th gen part Intel got significant upgrade four e cores 8 threads plus small clock boost I also like 3DFX part AMD caused minor issues people I definitely like RAM issues I see time AMD systems If RAM issues I may gone AMD time Out Intel systems I assembled customers years I come across RAM issue caused bad RAM This CPU working perfectly gaming excellently Gaming benchmarks show good CPU I issues If interested Intel parts I suggest going 13th gen basically get part less money For i7 system though excellent CPU half decent upgrade previous gen Read,0.9786,positive,1
262,,,2023-11-03,So far good This CPU monster runs nicely boosts max clocks 6ghz two cores 5 7ghz cores unlimited TDP settings thermally limited 90c 60mV offset I noticed runs bit cooler previous 13900KF especially consider core core deltas I use PC mostly gaming encoding long great case plenty air flow top notch cooler easily run air cooled without issues throttle hits whatever thermal maximum set UEFI BIOS In gaming workloads never throttles though stays 5 7ghz core boost entire time temps CPU intensive games anywhere upper 50s mid 60s upper 40s mid 50s non CPU intensive games Update I CPU 5 8ghz HT disabled 75mV offset working like charm stable gaming workloads encoding downclocks hits 90c encoding workloads gaming stays 5 8ghz amazing since air cooled setup though setup optimal gets air cooling As temps little lower running 5 7ghz HT enabled 50mV offset If I use 75mV offset 5 8ghz HT enabled PC crashes So disabling HT definitely enables CPU use less power If predominantly using machine gaming I definitely recommend turning HT regardless games tend run better HT disabled But using productivity blend productivity gaming definitely turn HT The mildly disappointing thing memory controller good I thought would Mine runs 48GB DDR5 7400 CL34 1 35V IMC hit DDR5 7600 CL36 stability I need increase IMC voltage 1 41V worth ask minor bump performance My previous 13900KF could 48GB DDR5 7800 1 36V IMC Core wise though CPU definitely superior 13th gen Read,0.9895,positive,1
263,i9 14th gen is the beast!,5.0,2023-11-20,Just upgraded i5 9400f i9 14900k super happy performance I able achieve It simply works buttery smooth Large applications open like notepad apps It heats lot though I went MSI coreliquid liquid cooling solution If looking upgrade 13th gen save money performance identical however setting new PC definitely go My setup MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro 1 TBRipjaws 32gb ddr5Bonus tip If u struck setting ur PC go MSI support super responsive assist I got wiring fixed matter minutes ona video call assistant Read,0.9764,positive,1
264,Worst! Gave me used and defective product.,1.0,2024-06-25,Motherboard Gigabyte z790 ud ac detecting cpuThe packaging worst Go store instead test buy Don buy Read,-0.6249,negative,0
265,Worst quality,1.0,2024-03-28,I liked price I Also liked performance Rather purchase i9 13th generationRead,0.6808,positive,1
266,Waste of money,1.0,2023-12-07,13 gen better performence low pricing Avoid product cause 2 core touching 6000 mhz real life difference Read,-0.1027,negative,0
267,It's just a overclocked i7 13700k,2.0,2023-10-25,What meaning new chip provides generational uplift except thing better last gen hefty power consumption ur fine work fine I think ur electricity bill gonna sky rocket 3 5 uplift 15 money worth rather buy 13 12 gen ddr5 ram help else get r7 7700 provide less like 10 percent 50 percentage less power draw ryzen better comes desktop processor efficiency value moneyRead,0.9525,positive,1
268,Beast gaming 💪🐻,5.0,2023-10-23,Beast gaming world 2nd powerful processor set processer RTX 4070 16gb ram 2048gb 2tb nvme 2 ssd 850 watts pls buy itRead,0.4767,positive,1
269,,,2024-03-11,Lo compré con el 10 de descuento es el mejor procesador que tenido No llora con nada que es muy caliente si Pero con una buena refrigeración liquida que ya son bastante buenas se controla Me gustó mucho sin demeritar la competencia AMD que lo está haciendo genial también Per en mi caso como las memorias DDR5 vienen optimizadas para intel quiero estar batallando decidí por este arrepiento de mi compra Muy buen producto de calidad premium Read,-0.4588,negative,0
271,,,2023-12-08,I using 10700K I decided time well actually I got itch I decided go 14700K reasons One 14th gen part Intel got significant upgrade four e cores 8 threads plus small clock boost I also like 3DFX part AMD caused minor issues people I definitely like RAM issues I see time AMD systems If RAM issues I may gone AMD time Out Intel systems I assembled customers years I come across RAM issue caused bad RAM This CPU working perfectly gaming excellently Gaming benchmarks show good CPU I issues If interested Intel parts I suggest going 13th gen basically get part less money For i7 system though excellent CPU half decent upgrade previous gen Read,0.9786,positive,1
273,,,2023-11-03,So far good This CPU monster runs nicely boosts max clocks 6ghz two cores 5 7ghz cores unlimited TDP settings thermally limited 90c 60mV offset I noticed runs bit cooler previous 13900KF especially consider core core deltas I use PC mostly gaming encoding long great case plenty air flow top notch cooler easily run air cooled without issues throttle hits whatever thermal maximum set UEFI BIOS In gaming workloads never throttles though stays 5 7ghz core boost entire time temps CPU intensive games anywhere upper 50s mid 60s upper 40s mid 50s non CPU intensive games Update I CPU 5 8ghz HT disabled 75mV offset working like charm stable gaming workloads encoding downclocks hits 90c encoding workloads gaming stays 5 8ghz amazing since air cooled setup though setup optimal gets air cooling As temps little lower running 5 7ghz HT enabled 50mV offset If I use 75mV offset 5 8ghz HT enabled PC crashes So disabling HT definitely enables CPU use less power If predominantly using machine gaming I definitely recommend turning HT regardless games tend run better HT disabled But using productivity blend productivity gaming definitely turn HT The mildly disappointing thing memory controller good I thought would Mine runs 48GB DDR5 7400 CL34 1 35V IMC hit DDR5 7600 CL36 stability I need increase IMC voltage 1 41V worth ask minor bump performance My previous 13900KF could 48GB DDR5 7800 1 36V IMC Core wise though CPU definitely superior 13th gen Read,0.9895,positive,1
274,i9 14th gen is the beast!,5.0,2023-11-20,Just upgraded i5 9400f i9 14900k super happy performance I able achieve It simply works buttery smooth Large applications open like notepad apps It heats lot though I went MSI coreliquid liquid cooling solution If looking upgrade 13th gen save money performance identical however setting new PC definitely go My setup MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro 1 TBRipjaws 32gb ddr5Bonus tip If u struck setting ur PC go MSI support super responsive assist I got wiring fixed matter minutes ona video call assistant Read,0.9764,positive,1
275,Worst! Gave me used and defective product.,1.0,2024-06-25,Motherboard Gigabyte z790 ud ac detecting cpuThe packaging worst Go store instead test buy Don buy Read,-0.6249,negative,0
276,Worst quality,1.0,2024-03-28,I liked price I Also liked performance Rather purchase i9 13th generationRead,0.6808,positive,1
277,Waste of money,1.0,2023-12-07,13 gen better performence low pricing Avoid product cause 2 core touching 6000 mhz real life difference Read,-0.1027,negative,0
278,It's just a overclocked i7 13700k,2.0,2023-10-25,What meaning new chip provides generational uplift except thing better last gen hefty power consumption ur fine work fine I think ur electricity bill gonna sky rocket 3 5 uplift 15 money worth rather buy 13 12 gen ddr5 ram help else get r7 7700 provide less like 10 percent 50 percentage less power draw ryzen better comes desktop processor efficiency value moneyRead,0.9525,positive,1
279,Beast gaming 💪🐻,5.0,2023-10-23,Beast gaming world 2nd powerful processor set processer RTX 4070 16gb ram 2048gb 2tb nvme 2 ssd 850 watts pls buy itRead,0.4767,positive,1
280,,,2024-03-11,Lo compré con el 10 de descuento es el mejor procesador que tenido No llora con nada que es muy caliente si Pero con una buena refrigeración liquida que ya son bastante buenas se controla Me gustó mucho sin demeritar la competencia AMD que lo está haciendo genial también Per en mi caso como las memorias DDR5 vienen optimizadas para intel quiero estar batallando decidí por este arrepiento de mi compra Muy buen producto de calidad premium Read,-0.4588,negative,0
282,,,2023-12-08,I using 10700K I decided time well actually I got itch I decided go 14700K reasons One 14th gen part Intel got significant upgrade four e cores 8 threads plus small clock boost I also like 3DFX part AMD caused minor issues people I definitely like RAM issues I see time AMD systems If RAM issues I may gone AMD time Out Intel systems I assembled customers years I come across RAM issue caused bad RAM This CPU working perfectly gaming excellently Gaming benchmarks show good CPU I issues If interested Intel parts I suggest going 13th gen basically get part less money For i7 system though excellent CPU half decent upgrade previous gen Read,0.9786,positive,1
284,,,2023-11-03,So far good This CPU monster runs nicely boosts max clocks 6ghz two cores 5 7ghz cores unlimited TDP settings thermally limited 90c 60mV offset I noticed runs bit cooler previous 13900KF especially consider core core deltas I use PC mostly gaming encoding long great case plenty air flow top notch cooler easily run air cooled without issues throttle hits whatever thermal maximum set UEFI BIOS In gaming workloads never throttles though stays 5 7ghz core boost entire time temps CPU intensive games anywhere upper 50s mid 60s upper 40s mid 50s non CPU intensive games Update I CPU 5 8ghz HT disabled 75mV offset working like charm stable gaming workloads encoding downclocks hits 90c encoding workloads gaming stays 5 8ghz amazing since air cooled setup though setup optimal gets air cooling As temps little lower running 5 7ghz HT enabled 50mV offset If I use 75mV offset 5 8ghz HT enabled PC crashes So disabling HT definitely enables CPU use less power If predominantly using machine gaming I definitely recommend turning HT regardless games tend run better HT disabled But using productivity blend productivity gaming definitely turn HT The mildly disappointing thing memory controller good I thought would Mine runs 48GB DDR5 7400 CL34 1 35V IMC hit DDR5 7600 CL36 stability I need increase IMC voltage 1 41V worth ask minor bump performance My previous 13900KF could 48GB DDR5 7800 1 36V IMC Core wise though CPU definitely superior 13th gen Read,0.9895,positive,1
285,i9 14th gen is the beast!,5.0,2023-11-20,Just upgraded i5 9400f i9 14900k super happy performance I able achieve It simply works buttery smooth Large applications open like notepad apps It heats lot though I went MSI coreliquid liquid cooling solution If looking upgrade 13th gen save money performance identical however setting new PC definitely go My setup MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro 1 TBRipjaws 32gb ddr5Bonus tip If u struck setting ur PC go MSI support super responsive assist I got wiring fixed matter minutes ona video call assistant Read,0.9764,positive,1
286,Worst! Gave me used and defective product.,1.0,2024-06-25,Motherboard Gigabyte z790 ud ac detecting cpuThe packaging worst Go store instead test buy Don buy Read,-0.6249,negative,0
287,Worst quality,1.0,2024-03-28,I liked price I Also liked performance Rather purchase i9 13th generationRead,0.6808,positive,1
288,Waste of money,1.0,2023-12-07,13 gen better performence low pricing Avoid product cause 2 core touching 6000 mhz real life difference Read,-0.1027,negative,0
289,It's just a overclocked i7 13700k,2.0,2023-10-25,What meaning new chip provides generational uplift except thing better last gen hefty power consumption ur fine work fine I think ur electricity bill gonna sky rocket 3 5 uplift 15 money worth rather buy 13 12 gen ddr5 ram help else get r7 7700 provide less like 10 percent 50 percentage less power draw ryzen better comes desktop processor efficiency value moneyRead,0.9525,positive,1
290,Beast gaming 💪🐻,5.0,2023-10-23,Beast gaming world 2nd powerful processor set processer RTX 4070 16gb ram 2048gb 2tb nvme 2 ssd 850 watts pls buy itRead,0.4767,positive,1
291,,,2024-03-11,Lo compré con el 10 de descuento es el mejor procesador que tenido No llora con nada que es muy caliente si Pero con una buena refrigeración liquida que ya son bastante buenas se controla Me gustó mucho sin demeritar la competencia AMD que lo está haciendo genial también Per en mi caso como las memorias DDR5 vienen optimizadas para intel quiero estar batallando decidí por este arrepiento de mi compra Muy buen producto de calidad premium Read,-0.4588,negative,0
293,,,2023-12-08,I using 10700K I decided time well actually I got itch I decided go 14700K reasons One 14th gen part Intel got significant upgrade four e cores 8 threads plus small clock boost I also like 3DFX part AMD caused minor issues people I definitely like RAM issues I see time AMD systems If RAM issues I may gone AMD time Out Intel systems I assembled customers years I come across RAM issue caused bad RAM This CPU working perfectly gaming excellently Gaming benchmarks show good CPU I issues If interested Intel parts I suggest going 13th gen basically get part less money For i7 system though excellent CPU half decent upgrade previous gen Read,0.9786,positive,1
295,,,2023-11-03,So far good This CPU monster runs nicely boosts max clocks 6ghz two cores 5 7ghz cores unlimited TDP settings thermally limited 90c 60mV offset I noticed runs bit cooler previous 13900KF especially consider core core deltas I use PC mostly gaming encoding long great case plenty air flow top notch cooler easily run air cooled without issues throttle hits whatever thermal maximum set UEFI BIOS In gaming workloads never throttles though stays 5 7ghz core boost entire time temps CPU intensive games anywhere upper 50s mid 60s upper 40s mid 50s non CPU intensive games Update I CPU 5 8ghz HT disabled 75mV offset working like charm stable gaming workloads encoding downclocks hits 90c encoding workloads gaming stays 5 8ghz amazing since air cooled setup though setup optimal gets air cooling As temps little lower running 5 7ghz HT enabled 50mV offset If I use 75mV offset 5 8ghz HT enabled PC crashes So disabling HT definitely enables CPU use less power If predominantly using machine gaming I definitely recommend turning HT regardless games tend run better HT disabled But using productivity blend productivity gaming definitely turn HT The mildly disappointing thing memory controller good I thought would Mine runs 48GB DDR5 7400 CL34 1 35V IMC hit DDR5 7600 CL36 stability I need increase IMC voltage 1 41V worth ask minor bump performance My previous 13900KF could 48GB DDR5 7800 1 36V IMC Core wise though CPU definitely superior 13th gen Read,0.9895,positive,1
296,i9 14th gen is the beast!,5.0,2023-11-20,Just upgraded i5 9400f i9 14900k super happy performance I able achieve It simply works buttery smooth Large applications open like notepad apps It heats lot though I went MSI coreliquid liquid cooling solution If looking upgrade 13th gen save money performance identical however setting new PC definitely go My setup MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro 1 TBRipjaws 32gb ddr5Bonus tip If u struck setting ur PC go MSI support super responsive assist I got wiring fixed matter minutes ona video call assistant Read,0.9764,positive,1
297,Worst! Gave me used and defective product.,1.0,2024-06-25,Motherboard Gigabyte z790 ud ac detecting cpuThe packaging worst Go store instead test buy Don buy Read,-0.6249,negative,0
298,Worst quality,1.0,2024-03-28,I liked price I Also liked performance Rather purchase i9 13th generationRead,0.6808,positive,1
299,Waste of money,1.0,2023-12-07,13 gen better performence low pricing Avoid product cause 2 core touching 6000 mhz real life difference Read,-0.1027,negative,0
